track_id,title,artist,genre,tags
80,Three Little Birds,Bob Marley,reggae,"happy carefree upbeat"
81,Don't Worry Be Happy,Bobby McFerrin,pop,"happy cheerful positive"
82,Lovely Day,Bill Withers,soul,"happy uplifting positive"
83,Good As Hell,Lizzo,hip hop,"happy confident empowering"
84,Walking on Air,Kerli,pop,"happy uplifting euphoric"
85,Feeling Good,Nina Simone,jazz,"happy uplifting positive"
86,Mr. Brightside,The Killers,alternative,"happy upbeat energetic"
87,September,Earth Wind & Fire,funk,"happy upbeat party"
88,Good Times,Chic,disco,"happy party upbeat"
89,I Will Survive,Gloria Gaynor,disco soul,"happy empowering confident"
90,Le Freak,Chic,disco,"happy party upbeat"
91,Best Day of My Life,American Authors,indie pop,"happy uplifting positive"
92,Make You Feel My Love,Adele,pop ballad,"sad emotional tender"
93,Someone Like You,Adele,pop ballad,"sad melancholic heartfelt"
94,All I Want,Kodaline,alternative,"sad emotional intimate"
95,Youth,Daughter,indie folk,"sad vulnerable emotional"
96,Tired,The Neighbourhood,indie,"sad melancholic dark"
97,Breathe Me,Sia,alternative,"sad vulnerable emotional"
98,Skinny Love,Bon Iver,indie folk,"sad emotional intimate"
99,Re: Stacks,Bon Iver,indie folk,"sad melancholic introspective"
100,Gwine,Bon Iver,indie folk,"sad dark atmospheric"
101,Zombie,The Cranberries,alternative rock,"anger intense dark"
102,Dani California,Red Hot Chili Peppers,alternative rock,"anger intense energetic"
103,Toxicity,System of a Down,metal,"anger aggressive intense"
104,Chop Suey,System of a Down,metal,"anger aggressive heavy"
105,Bleed It Out,Linkin Park,rap metal,"anger aggressive intense"
106,Numb,Linkin Park,nu metal,"anger dark intense"
107,One Step Closer,Linkin Park,nu metal,"anger aggressive powerful"
108,What I've Done,Linkin Park,alternative metal,"anger aggressive reflective"
109,War,U2,alternative rock,"anger intense dark"
110,Sunday Bloody Sunday,U2,alternative rock,"anger intense powerful"
111,Sabotage,Beastie Boys,hip hop,"anger aggressive rebellious"
112,F*** Tha Police,N.W.A,hip hop,"anger rebellious aggressive"
113,Passenger,Deftones,metal,"calm atmospheric dark"
114,change (in the House of Flies),Deftones,metal,"calm dark atmospheric"
115,Ethereal,Lorn,electronic,"calm atmospheric peaceful"
116,Weightless,Marconi Union,ambient,"calm soothing meditative"
117,Music for Airports,Brian Eno,ambient,"calm peaceful atmospheric"
118,An Ending (Ascent),Brian Eno,ambient,"calm peaceful meditative"
119,Midnight City,M83,alternative,"happy energetic synth"
120,Echoes,Pink Floyd,progressive rock,"calm meditative atmospheric"
